date;jour;heure;phase;type;texte_twitter;texte_linkedin;url;image_og
2026-02-17;Mar;09:00;1-Lancement;general;"Municipales 2026 : comparez les programmes de 548 candidats dans 103 villes.

Neutre. Factuel. Open source.

#Municipales2026 #PourQuiTuVotes";"Les municipales 2026 approchent. J'ai cree un outil citoyen pour comparer les programmes de 548 candidats dans 103 villes francaises.

Neutre, factuel, sans publicite.

Decouvrez les propositions de vos candidats :";https://pourquituvotes.fr/;home.jpg
2026-02-17;Mar;12:30;1-Lancement;duel;"Philippe vs Lecoq au Havre.

Le duel des municipales 2026. Comparez leurs propositions point par point.

#LeHavre2026 #Municipales2026";"Le duel Philippe vs Lecoq au Havre : deux visions pour la ville.

Comparez leurs propositions theme par theme sur notre outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/le-havre/?candidats=philippe,lecoq;duel-le-havre-philippe-vs-lecoq.jpg
2026-02-17;Mar;18:00;1-Lancement;ville;"Municipales 2026 a Marseille : 5 candidats.

Qui propose quoi ? Comparez les programmes.

#Marseille2026 #Municipales2026";"Marseille aux municipales 2026 : 5 candidats.

Comparez les programmes :";https://pourquituvotes.fr/municipales-2026/marseille/;marseille.jpg
2026-02-18;Mer;09:00;1-Lancement;ville;"Municipales 2026 a Lyon : 6 candidats.

Comparez les programmes theme par theme.

#Lyon2026 #Municipales2026";"Lyon : 6 candidats aux municipales 2026.

Comparez les 50 propositions sur 10 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/lyon/;lyon.jpg
2026-02-18;Mer;12:30;1-Lancement;duel;"Gregoire vs Knafo a Paris.

Deux visions opposees pour Paris. Comparez leurs propositions.

#Paris2026 #Municipales2026";"Le duel Gregoire vs Knafo a Paris.

Deux visions opposees pour Paris.
Comparez leurs propositions theme par theme :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=gregoire,knafo;duel-paris-gregoire-vs-knafo.jpg
2026-02-18;Mer;18:00;1-Lancement;ville;"Municipales 2026 a Toulouse : 7 candidats.

Qui propose quoi ? Comparez les programmes.

#Toulouse2026 #Municipales2026";"Toulouse aux municipales 2026 : 7 candidats.

Comparez les programmes :";https://pourquituvotes.fr/municipales-2026/toulouse/;toulouse.jpg
2026-02-19;Jeu;09:00;1-Lancement;ville;"Municipales 2026 a Nice : 8 candidats.

Comparez les programmes theme par theme.

#Nice2026 #Municipales2026";"Nice : 8 candidats aux municipales 2026.

Comparez les 27 propositions sur 11 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/nice/;nice.jpg
2026-02-19;Jeu;12:30;1-Lancement;duel;"Chikirou vs Knafo a Paris.

Gauche vs droite a Paris. Comparez leurs propositions.

#Paris2026 #Municipales2026";"Le duel Chikirou vs Knafo a Paris.

Gauche vs droite a Paris.
Comparez leurs propositions theme par theme :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=chikirou,knafo;duel-paris-chikirou-vs-knafo.jpg
2026-02-19;Jeu;18:00;1-Lancement;ville;"Municipales 2026 a Nantes : 8 candidats.

Qui propose quoi ? Comparez les programmes.

#Nantes2026 #Municipales2026";"Nantes aux municipales 2026 : 8 candidats.

Comparez les programmes :";https://pourquituvotes.fr/municipales-2026/nantes/;nantes.jpg
2026-02-20;Ven;09:00;1-Lancement;ville;"Municipales 2026 a Montpellier : 9 candidats.

Comparez les programmes theme par theme.

#Montpellier2026 #Municipales2026";"Montpellier : 9 candidats aux municipales 2026.

Comparez les 73 propositions sur 11 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/montpellier/;montpellier.jpg
2026-02-20;Ven;12:30;1-Lancement;duel;"Bournazel vs Chikirou a Paris.

Centre vs gauche a Paris. Comparez leurs propositions.

#Paris2026 #Municipales2026";"Le duel Bournazel vs Chikirou a Paris.

Centre vs gauche a Paris.
Comparez leurs propositions theme par theme :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=bournazel,chikirou;duel-paris-bournazel-vs-chikirou.jpg
2026-02-20;Ven;18:00;1-Lancement;ville;"Municipales 2026 a Strasbourg : 14 candidats.

Qui propose quoi ? Comparez les programmes.

#Strasbourg2026 #Municipales2026";"Strasbourg aux municipales 2026 : 14 candidats.

Comparez les programmes :";https://pourquituvotes.fr/municipales-2026/strasbourg/;strasbourg.jpg
2026-02-21;Sam;09:00;1-Lancement;ville;"Municipales 2026 a Bordeaux : 3 candidats.

Comparez les programmes theme par theme.

#Bordeaux2026 #Municipales2026";"Bordeaux : 3 candidats aux municipales 2026.

Comparez les 17 propositions sur 10 thematiques.

Outil citoyen gratuit :";https://pourquituvotes.fr/municipales-2026/bordeaux/;bordeaux.jpg
2026-02-21;Sam;12:30;1-Lancement;duel;"Gregoire vs Bournazel a Paris.

Qui pour succeder a Hidalgo ?. Comparez leurs propositions.

#Paris2026 #Municipales2026";"Le duel Gregoire vs Bournazel a Paris.

Qui pour succeder a Hidalgo ?.
Comparez leurs propositions theme par theme :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=gregoire,bournazel;duel-paris-gregoire-vs-bournazel.jpg
2026-02-21;Sam;18:00;1-Lancement;ville;"Municipales 2026 a Lille : 9 candidats.

Qui propose quoi ? Comparez les programmes.

#Lille2026 #Municipales2026";"Lille aux municipales 2026 : 9 candidats.

Comparez les programmes :";https://pourquituvotes.fr/municipales-2026/lille/;lille.jpg
2026-02-24;Mar;09:00;2-Montee;ville;"Municipales 2026 a Rennes : 11 candidats.

Comparez les programmes.

#Rennes2026 #Municipales2026";"Rennes : 11 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/rennes/;rennes.jpg
2026-02-24;Mar;12:30;2-Montee;candidat;"Emmanuel Grégoire - Municipales 2026 Paris

Programme complet. Decouvrez ses propositions.

#Paris2026";"Emmanuel Grégoire aux municipales 2026 a Paris.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/paris/candidats/gregoire/;paris-gregoire.jpg
2026-02-24;Mar;18:00;2-Montee;duel;"Gregoire vs Chikirou a Paris.

Le duel a gauche a Paris.

#Paris2026 #Municipales2026";"Le duel Gregoire vs Chikirou a Paris.

Le duel a gauche a Paris.
Comparez :";https://pourquituvotes.fr/municipales-2026/paris/?candidats=gregoire,chikirou;duel-paris-gregoire-vs-chikirou.jpg
2026-02-25;Mer;09:00;2-Montee;ville;"Municipales 2026 a Reims : 7 candidats.

Comparez les programmes.

#Reims2026 #Municipales2026";"Reims : 7 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/reims/;reims.jpg
2026-02-25;Mer;12:30;2-Montee;candidat;"Sophia Chikirou - Municipales 2026 Paris

Programme complet. Decouvrez ses propositions.

#Paris2026";"Sophia Chikirou aux municipales 2026 a Paris.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/paris/candidats/chikirou/;paris-chikirou.jpg
2026-02-25;Mer;18:00;2-Montee;thematique;"Securite : que proposent les candidats aux municipales 2026 ?

Comparez dans 103 villes.

#Municipales2026 #Securite";"Enjeu municipales 2026 : Securite

Comparez les propositions des candidats sur ce theme cle :";https://pourquituvotes.fr/enjeux-2026/securite/;comparateur.jpg
2026-02-26;Jeu;09:00;2-Montee;ville;"Municipales 2026 a Toulon : 6 candidats.

Comparez les programmes.

#Toulon2026 #Municipales2026";"Toulon : 6 candidats aux municipales 2026.

Comparez les propositions :";https://pourquituvotes.fr/municipales-2026/toulon/;toulon.jpg
2026-02-26;Jeu;12:30;2-Montee;candidat;"Pierre-Yves Bournazel - Municipales 2026 Paris

Programme complet. Decouvrez ses propositions.

#Paris2026";"Pierre-Yves Bournazel aux municipales 2026 a Paris.

Programme complet. Consultez ses propositions et comparez :";https://pourquituvotes.fr/municipales-2026/paris/candidats/bournazel/;paris-bournazel.jpg
